workerid,Answer.language,tournamentCondition,player1color,player2color,player3color,sentence,condition,conditionOrder,trialnum,response,rt,trainingCorrect
A29VH6K2QFGVZW,vietnamese,all advances,wheat,pink,lightorange,Player A made shots,half-half-half,half-half-half,24,7,2750,NA
A29VH6K2QFGVZW,vietnamese,all advances,lightblue,darkorange,yellow,Player B made shots,half-half-half,half-half-half,25,7,5721,NA
A29VH6K2QFGVZW,vietnamese,all advances,yellow,tan,lightorange,Two players will advance,none-all-all,all-all-none,26,7,1671,NA
A29VH6K2QFGVZW,vietnamese,all advances,yellow,darkorange,grey,Three players will advance,none-none-half,half-none-none,27,1,2560,NA
A29VH6K2QFGVZW,vietnamese,all advances,lightorange,tan,lightblue,All of the players will advance,none-half-all,half-none-all,20,1,2277,NA
A29VH6K2QFGVZW,vietnamese,all advances,lavender,purple,yellow,Player A will be pleased,none-none-all,all-none-none,21,7,2278,NA
A29VH6K2QFGVZW,vietnamese,all advances,lavender,darkorange,yellow,Most of the players will advance,none-half-all,all-half-none,22,1,6358,NA
A29VH6K2QFGVZW,vietnamese,all advances,lavender,brown,lightblue,Exactly one player hit none of his shots,half-all-all,all-all-half,23,1,3174,NA
A29VH6K2QFGVZW,vietnamese,all advances,pink,seafoam,wheat,Player C will be pleased,none-none-half,half-none-none,28,1,1856,NA
A29VH6K2QFGVZW,vietnamese,all advances,grey,yellow,lightblue,No player hit none of his shots,all-all-all,all-all-all,1,7,6351,NA
A29VH6K2QFGVZW,vietnamese,all advances,lightorange,royalblue,lavender,Player B will be disappointed,all-all-all,all-all-all,0,1,9328,NA
A29VH6K2QFGVZW,vietnamese,all advances,seafoam,royalblue,purple,At least one player will advance,half-half-all,all-half-half,3,7,4484,NA
A29VH6K2QFGVZW,vietnamese,all advances,grey,midnight,lavender,Exactly one player hit all of his shots,none-none-all,all-none-none,2,7,3000,NA
A29VH6K2QFGVZW,vietnamese,all advances,lavender,yellow,royalblue,Player C will be disappointed,none-all-all,all-none-all,5,1,4548,NA
A29VH6K2QFGVZW,vietnamese,all advances,pink,darkorange,yellow,Every player hit some of his shots,none-none-none,none-none-none,4,1,3450,NA
A29VH6K2QFGVZW,vietnamese,all advances,lavender,lightorange,seafoam,No player hit all of his shots,none-none-half,none-half-none,7,1,3057,NA
A29VH6K2QFGVZW,vietnamese,all advances,lightorange,tan,pink,One player will advance,none-none-none,none-none-none,6,1,3071,NA
A29VH6K2QFGVZW,vietnamese,all advances,royalblue,brown,darkorange,None of the players will advance,all-all-all,all-all-all,9,1,1954,NA
A29VH6K2QFGVZW,vietnamese,all advances,tan,lightorange,lightblue,Exactly one player hit some of his shots,half-half-half,half-half-half,8,1,8522,NA
A29VH6K2QFGVZW,vietnamese,all advances,tan,royalblue,pink,Player A will advance,none-half-all,none-half-all,11,1,2872,NA
A29VH6K2QFGVZW,vietnamese,all advances,brown,lightblue,lavender,Player B will advance,none-half-half,half-half-none,10,1,12944,NA
A29VH6K2QFGVZW,vietnamese,all advances,grey,pink,darkorange,All the players will advance,none-none-none,none-none-none,13,1,1853,NA
A29VH6K2QFGVZW,vietnamese,all advances,pink,seafoam,lightblue,Player A will be disappointed,all-all-all,all-all-all,12,1,2557,NA
A29VH6K2QFGVZW,vietnamese,all advances,grey,darkorange,seafoam,Player C will advance,none-none-half,half-none-none,15,1,2005,NA
A29VH6K2QFGVZW,vietnamese,all advances,yellow,lavender,royalblue,No player hit some of his shots,none-half-half,half-half-none,14,1,2999,NA
A29VH6K2QFGVZW,vietnamese,all advances,yellow,seafoam,darkorange,Every player hit all of his shots,none-none-half,none-none-half,17,1,2127,NA
A29VH6K2QFGVZW,vietnamese,all advances,darkorange,midnight,brown,Player B will be pleased,all-all-all,all-all-all,16,7,3324,NA
A29VH6K2QFGVZW,vietnamese,all advances,lightorange,lavender,lightblue,Player C made shots,half-half-all,half-half-all,19,7,3873,NA
A29VH6K2QFGVZW,vietnamese,all advances,seafoam,lightorange,purple,Every player hit none of his shots,none-half-half,none-half-half,18,1,1969,NA
A29VH6K2QFGVZW,vietnamese,all advances,brown,purple,lightorange,Player A was the star player of the round,most-none-all,most-none-all,-1,1,17401,no
A29VH6K2QFGVZW,vietnamese,all advances,pink,royalblue,lightblue,Player C messed up,all-all-none,all-all-none,-3,7,9936,yes
A29VH6K2QFGVZW,vietnamese,all advances,lavender,tan,grey,Player B will advance to the next round,all-few-none,all-few-none,-2,1,9287,yes
A228M4KOCN6I95,English,any advances,grey,purple,tan,Player B made shots,half-half-half,half-half-half,24,7,4784,NA
A228M4KOCN6I95,English,any advances,midnight,lightblue,purple,Exactly one player hit all of his shots,half-half-all,half-all-half,25,7,5784,NA
A228M4KOCN6I95,English,any advances,purple,yellow,tan,Player A made shots,half-half-all,all-half-half,26,7,3600,NA
A228M4KOCN6I95,English,any advances,lavender,pink,grey,None of the players will advance,none-half-half,half-none-half,27,1,5985,NA
A228M4KOCN6I95,English,any advances,seafoam,lavender,midnight,Player C will advance,none-half-half,half-half-none,20,1,6480,NA
A228M4KOCN6I95,English,any advances,pink,tan,seafoam,Player A will be disappointed,none-none-half,half-none-none,21,1,5057,NA
A228M4KOCN6I95,English,any advances,midnight,grey,darkorange,Every player hit some of his shots,half-half-half,half-half-half,22,7,5394,NA
A228M4KOCN6I95,English,any advances,midnight,brown,lightblue,Every player hit all of his shots,half-all-all,all-half-all,23,1,6009,NA
A228M4KOCN6I95,English,any advances,midnight,brown,wheat,One player will advance,none-none-half,none-none-half,28,7,5433,NA
A228M4KOCN6I95,English,any advances,brown,yellow,pink,Player C made shots,all-all-all,all-all-all,1,7,6703,NA
A228M4KOCN6I95,English,any advances,pink,lavender,royalblue,All of the players will advance,half-half-all,half-half-all,0,1,10020,NA
A228M4KOCN6I95,English,any advances,midnight,brown,lavender,Most of the players will advance,half-half-all,half-all-half,3,7,10533,NA
A228M4KOCN6I95,English,any advances,royalblue,pink,lightorange,No player hit some of his shots,none-none-half,none-half-none,2,1,6619,NA
A228M4KOCN6I95,English,any advances,darkorange,royalblue,brown,No player hit none of his shots,half-half-all,all-half-half,5,7,17160,NA
A228M4KOCN6I95,English,any advances,darkorange,seafoam,tan,Exactly one player hit some of his shots,none-half-all,all-half-none,4,1,8768,NA
A228M4KOCN6I95,English,any advances,lightblue,darkorange,lightorange,Player B will be pleased,none-half-half,none-half-half,7,7,11304,NA
A228M4KOCN6I95,English,any advances,brown,purple,tan,Three players will advance,none-none-all,all-none-none,6,1,10479,NA
A228M4KOCN6I95,English,any advances,grey,darkorange,midnight,Player B will be disappointed,none-none-half,none-none-half,9,4,12472,NA
A228M4KOCN6I95,English,any advances,midnight,lavender,purple,Every player hit none of his shots,none-none-half,none-half-none,8,1,10752,NA
